venue,lineup,scenario,exit_years,new_cash,owned_value,gross,venue_receives,lp_income,op_costs,operating_cash,resale,exit_costs,cash_result,wear,result_incl_wear,owner_hours
westfield-collective,A,weak,1,4510,36000,3484,993,2317,6120,-3803,1200,600,-7713,2520,-10233,452
westfield-collective,A,weak,2,4510,36000,6968,1986,4634,12239,-7605,1200,600,-11515,5040,-16555,868
westfield-collective,A,weak,3,4510,36000,10452,2979,6951,18359,-11408,1200,600,-15318,7560,-22878,1284
westfield-collective,A+R,weak,1,20090,36000,3484,993,2317,6420,-4103,13671,600,-11122,1750,-12872,460
westfield-collective,A+R,weak,2,20090,36000,6968,1986,4634,12539,-7905,12174,600,-16421,3115,-19536,876
westfield-collective,A+R,weak,3,20090,36000,10452,2979,6951,18659,-11708,10857,600,-21541,4480,-26021,1292
westfield-collective,B,weak,1,14925,26500,3484,993,2317,6120,-3803,7650,600,-11677,1855,-13532,452
westfield-collective,B,weak,2,14925,26500,6968,1986,4634,12239,-7605,6913,600,-16217,3710,-19927,868
westfield-collective,B,weak,3,14925,26500,10452,2979,6951,18359,-11408,6268,600,-20665,5565,-26230,1284
westfield-collective,B+R,weak,1,30505,26500,3484,993,2317,6420,-4103,20121,600,-15087,1085,-16172,460
westfield-collective,B+R,weak,2,30505,26500,6968,1986,4634,12539,-7905,17887,600,-21123,1785,-22908,876
westfield-collective,B+R,weak,3,30505,26500,10452,2979,6951,18659,-11708,15926,600,-26888,2485,-29373,1292
westfield-collective,C,weak,1,27480,16500,3484,993,2317,6120,-3803,14877,600,-17006,1155,-18161,452
westfield-collective,C,weak,2,27480,16500,6968,1986,4634,12239,-7605,13364,600,-22322,2310,-24632,868
westfield-collective,C,weak,3,27480,16500,10452,2979,6951,18359,-11408,12040,600,-27448,3465,-30913,1284
westfield-collective,C+R,weak,1,43060,16500,3484,993,2317,6420,-4103,27348,600,-20415,385,-20800,460
westfield-collective,C+R,weak,2,43060,16500,6968,1986,4634,12539,-7905,24338,600,-27228,385,-27613,876
westfield-collective,C+R,weak,3,43060,16500,10452,2979,6951,18659,-11708,21697,600,-33671,385,-34056,1292
westfield-collective,A,middle,1,4510,36000,8580,2445,5706,5220,486,1200,600,-3424,1440,-4864,348
westfield-collective,A,middle,2,4510,36000,17160,4891,11411,10439,972,1200,600,-2938,2880,-5818,660
westfield-collective,A,middle,3,4510,36000,25740,7336,17117,15659,1458,1200,600,-2452,4320,-6772,972
westfield-collective,A+R,middle,1,20090,36000,8580,2445,5706,5520,186,14139,600,-6365,1000,-7365,356
westfield-collective,A+R,middle,2,20090,36000,17160,4891,11411,10739,672,13233,600,-6785,1780,-8565,668
westfield-collective,A+R,middle,3,20090,36000,25740,7336,17117,15959,1158,12391,600,-7141,2560,-9701,980
westfield-collective,B,middle,1,14925,26500,8580,2445,5706,5220,486,8572,600,-6467,1060,-7527,348
westfield-collective,B,middle,2,14925,26500,17160,4891,11411,10439,972,7835,600,-6718,2120,-8838,660
westfield-collective,B,middle,3,14925,26500,25740,7336,17117,15659,1458,7282,600,-6785,3180,-9965,972
westfield-collective,B+R,middle,1,30505,26500,8580,2445,5706,5520,186,21511,600,-9408,620,-10028,356
westfield-collective,B+R,middle,2,30505,26500,17160,4891,11411,10739,672,19868,600,-10565,1020,-11585,668
westfield-collective,B+R,middle,3,30505,26500,25740,7336,17117,15959,1158,18473,600,-11474,1420,-12894,980
westfield-collective,C,middle,1,27480,16500,8580,2445,5706,5220,486,16768,600,-10825,660,-11485,348
westfield-collective,C,middle,2,27480,16500,17160,4891,11411,10439,972,15255,600,-11853,1320,-13173,660
westfield-collective,C,middle,3,27480,16500,25740,7336,17117,15659,1458,14120,600,-12501,1980,-14481,972
westfield-collective,C+R,middle,1,43060,16500,8580,2445,5706,5520,186,29707,600,-13767,220,-13987,356
westfield-collective,C+R,middle,2,43060,16500,17160,4891,11411,10739,672,27288,600,-15700,220,-15920,668
westfield-collective,C+R,middle,3,43060,16500,25740,7336,17117,15959,1158,25311,600,-17191,220,-17411,980
westfield-collective,A,strong,1,4510,36000,19448,5543,12933,5520,7413,1200,600,3503,1080,2423,400
westfield-collective,A,strong,2,4510,36000,38896,11085,25866,11039,14827,1200,600,10917,2160,8757,764
westfield-collective,A,strong,3,4510,36000,58344,16628,38799,16559,22240,1200,600,18330,3240,15090,1128
westfield-collective,A+R,strong,1,20090,36000,19448,5543,12933,5820,7113,14507,600,930,750,180,408
westfield-collective,A+R,strong,2,20090,36000,38896,11085,25866,11339,14527,14108,600,7944,1335,6609,772
westfield-collective,A+R,strong,3,20090,36000,58344,16628,38799,16859,21940,13721,600,14971,1920,13051,1136
westfield-collective,B,strong,1,14925,26500,19448,5543,12933,5520,7413,9494,600,1382,795,587,400
westfield-collective,B,strong,2,14925,26500,38896,11085,25866,11039,14827,8848,600,8150,1590,6560,764
westfield-collective,B,strong,3,14925,26500,58344,16628,38799,16559,22240,8296,600,15011,2385,12626,1128
westfield-collective,B+R,strong,1,30505,26500,19448,5543,12933,5820,7113,22801,600,-1191,465,-1656,408
westfield-collective,B+R,strong,2,30505,26500,38896,11085,25866,11339,14527,21756,600,5178,765,4413,772
westfield-collective,B+R,strong,3,30505,26500,58344,16628,38799,16859,21940,20816,600,11651,1065,10586,1136
westfield-collective,C,strong,1,27480,16500,19448,5543,12933,5520,7413,18660,600,-2007,495,-2502,400
westfield-collective,C,strong,2,27480,16500,38896,11085,25866,11039,14827,17336,600,4083,990,3093,764
westfield-collective,C,strong,3,27480,16500,58344,16628,38799,16559,22240,16201,600,10361,1485,8876,1128
westfield-collective,C+R,strong,1,43060,16500,19448,5543,12933,5820,7113,31967,600,-4580,165,-4745,408
westfield-collective,C+R,strong,2,43060,16500,38896,11085,25866,11339,14527,30244,600,1110,165,945,772
westfield-collective,C+R,strong,3,43060,16500,58344,16628,38799,16859,21940,28722,600,7002,165,6837,1136
